Match_No,Team1,Team2,TossWinner,TossDecision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2,City,Status.1
Match 1,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,174,8,20.0,177,3,16.2,Royal Challengers Bangalore,No,7,Wickets,Krunal Pandya (Royal Challengers Bengaluru),Vinod Seshan,Abhijeet Bengeri,Madanagopal Jayaraman,Prakash Bhatt,3/22/2025,19:30:00,"Eden Gardens, Kolkata",Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Kolkata,Completed
Match 2,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,286,6,20.0,242,6,20.0,Sunrisers Hyderabad,No,44,Runs,Ishan Kishan (Sunrisers Hyderabad),Adrian Holdstock,Akshay Totre,Rohan Pandit,Shakti Singh,3/23/2025,15:30:00,"Rajiv Gandhi International Stadium, Hyderabad",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Hyderabad,Completed
Match 3,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Field,158,6,19.1,155,9,20.0,Chennai Super Kings,No,4,Wickets,Noor Ahmad (Chennai Super Kings),Kn Ananthapadmanabhan,Khalid Saiyed,Nitin Menon,Javagal Srinath,3/23/2025,19:30:00,"MA Chidambaram Stadium, Chennai",Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Chennai,Completed
Match 4,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,Field,211,9,19.3,209,8,20.0,Delhi Capitals,No,1,Wicket,Ashutosh Sharma (Delhi Capitals),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,3/24/2025,19:30:00,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Visakhapatnam,Completed
Match 5,Gujarat Titans,Punjab Kings,Gujarat Titans,Field,232,5,20.0,243,5,20.0,Punjab Kings,No,11,Runs,Shreyas Iyer (Punjab Kings),Vinod Seshan,Abhijeet Bengeri,Madanagopal Jayaraman,Prakash Bhatt,3/25/2025,19:30:00,"Narendra Modi Stadium, Ahmedabad",Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Ahmedabad,Completed
Match 6,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,151,9,20.0,153,2,17.3,Kolkata Knight Riders,No,8,Wickets,Quinton De Kock (Kolkata Knight Riders),Rohan Pandit,Akshay Totre,Adrian Holdstock,Shakti Singh,3/26/2025,19:30:00,"ACA Stadium, Guwahati",Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Guwahati,Completed
Match 7,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Field,190,9,20.0,193,5,16.1,Lucknow Super Giants,No,5,Wickets,Shardul Thakur (Lucknow Super Giants),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,3/27/2025,19:30:00,"Rajiv Gandhi International Stadium, Hyderabad",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Hyderabad,Completed
Match 8,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Field,146,8,20.0,196,7,20.0,Royal Challengers Bangalore,No,50,Runs,Rajat Patidar (Royal Challengers Bengaluru),Nitin Menon,Khalid Saiyed,Kn Ananthapadmanabhan,Javagal Srinath,3/28/2025,19:30:00,"MA Chidambaram Stadium, Chennai",Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Chennai,Completed
Match 9,Gujarat Titans,Mumbai Indians,Mumbai Indians,Field,196,8,20.0,160,6,20.0,Gujarat Titans,No,36,Runs,Prasidh Krishna (Gujarat Titans),Vinod Seshan,Abhijeet Bengeri,Madanagopal Jayaraman,Prakash Bhatt,3/29/2025,19:30:00,"Narendra Modi Stadium, Ahmedabad",Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Ahmedabad,Completed
Match 10,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,166,3,16.0,163,10,18.4,Delhi Capitals,No,7,Wickets,Mitchell Starc (Delhi Capitals),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,3/30/2025,15:30:00,"Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Visakhapatnam,Completed
Match 11,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,182,9,20.0,176,6,20.0,Rajasthan Royals,No,6,Runs,Nitish Rana (Rajasthan Royals),Adrian Holdstock,Akshay Totre,Rohan Pandit,Shakti Singh,3/30/2025,19:30:00,"ACA Stadium, Guwahati",Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Guwahati,Completed
Match 12,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,121,2,12.5,116,10,16.2,Mumbai Indians,No,8,Wickets,Ashwani Kumar (Mumbai Indians),Sai Darshan Kumar,Khalid Saiyed,Nitin Menon,Javagal Srinath,3/31/2025,19:30:00,"Wankhede Stadium, Mumbai",Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Mumbai,Completed
Match 13,Lucknow Super Giants,Punjab Kings,Punjab Kings,Field,171,7,20.0,177,2,16.2,Punjab Kings,No,8,Wickets,Prabhsimran Singh (Punjab Kings),Vinod Seshan,Abhijeet Bengeri,Madanagopal Jayaraman,Prakash Bhatt,4/1/2025,19:30:00,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Lucknow,Completed
Match 14,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,Field,169,8,20.0,170,2,17.5,Gujarat Titans,No,8,Wickets,Mohammed Siraj (Gujarat Titans),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,4/2/2025,19:30:00,"M Chinnaswamy Stadium, Bengaluru",Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Bengaluru,Completed
Match 15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,200,6,20.0,120,10,16.4,Kolkata Knight Riders,No,80,Runs,Vaibhav Arora (Kolkata Knight Riders),Adrian Holdstock,Akshay Totre,Rohan Pandit,Shakti Singh,4/3/2025,19:30:00,"Eden Gardens, Kolkata",Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Kolkata,Completed
Match 16,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Field,203,8,20.0,191,5,20.0,Lucknow Super Giants,No,12,Runs,Digvesh Singh (Lucknow Super Giants),Nitin Menon,Sai Darshan Kumar,Kn Ananthapadmanabhan,Javagal Srinath,4/4/2025,19:30:00,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Lucknow,Completed
Match 17,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Bat,158,5,20.0,183,6,20.0,Delhi Capitals,No,25,Runs,K L Rahul (Delhi Capitals),Abhijeet Bengeri,Parashar Joshi,Vinod Seshan,Prakash Bhatt,4/5/2025,15:30:00,"MA Chidambaram Stadium, Chennai",Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Chennai,Completed
Match 18,Punjab Kings,Rajasthan Royals,Punjab Kings,Field,155,9,20.0,205,4,20.0,Rajasthan Royals,No,50,Runs,Jofra Archer (Rajasthan Royals),Ulhas Gandhe,Swaroopanand Kannur,Virender Kumar Sharma,Narayanankutty V,4/5/2025,19:30:00,"New PCA Stadium, New Chandigarh",Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,New Chandigarh,Completed
Match 19,Sunrisers Hyderabad,Gujarat Titans,Kolkata Knight Riders,Field,152,8,20.0,153,3,16.4,Gujarat Titans,No,7,Wickets,Nicholas Pooran (Lucknow Super Giants),Adrian Holdstock,Akshay Totre,Rohan Pandit,Shakti Singh,4/6/2025,19:30:00,"Rajiv Gandhi International Stadium, Hyderabad",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Hyderabad,Completed
Match 20,Mumbai Indians,Royal Challengers Bangalore,Gujarat Titans,Field,209,9,20.0,221,5,20.0,Royal Challengers Bangalore,No,12,Runs,Mohammed Siraj (Gujarat Titans),Kn Ananthapadmanabhan,Sai Darshan Kumar,Nitin Menon,Javagal Srinath,4/7/2025,19:30:00,"Wankhede Stadium, Mumbai",Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Mumbai,Completed
Match 21,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Field,234,7,20.0,238,3,20.0,Lucknow Super Giants,No,4,Runs,Rajat Patidar (Royal Challengers Bengaluru),Vinod Seshan,Parashar Joshi,Madanagopal Jayaraman,Prakash Bhatt,4/8/2025,15:30:00,"Eden Gardens, Kolkata",Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Kolkata,Completed
Match 22,Punjab Kings,Chennai Super Kings,Punjab Kings,Bat,219,6,20.0,201,5,20.0,Punjab Kings,No,18,Runs,Priyansh Arya (Punjab Kings),Ulhas Gandhe,Abhijit Bhattacharya,Virender Kumar Sharma,Narayanankutty V,4/8/2025,19:30:00,"New PCA Stadium, New Chandigarh",Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,New Chandigarh,Completed
Match 23,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Field,217,6,20.0,159,10,19.2,Gujarat Titans,No,58,Runs,Sai Sudharsan (Gujarat Titans),Rohan Pandit,Akshay Totre,Adrian Holdstock,Shakti Singh,4/9/2025,19:30:00,"Narendra Modi Stadium, Ahmedabad",Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Ahmedabad,Completed
Match 24,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field,163,7,20.0,169,4,17.5,Delhi Capitals,No,6,Wickets,K L Rahul (Delhi Capitals),Kn Ananthapadmanabhan,Sai Darshan Kumar,Nitin Menon,Javagal Srinath,4/10/2025,19:30:00,"M Chinnaswamy Stadium, Bengaluru",Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Bengaluru,Completed
Match 25,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,103,9,20.0,107,2,10.1,Kolkata Knight Riders,No,8,Wickets,Sunil Narine (Kolkata Knight Riders),Chris Gaffaney,Parashar Joshi,Vinod Seshan,Prakash Bhatt,4/11/2025,19:30:00,"MA Chidambaram Stadium, Chennai",Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Chennai,Completed
Match 26,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Field,186,4,19.3,180,6,20.0,Lucknow Super Giants,No,6,Wickets,Aiden Markram (Lucknow Super Giants),Ulhas Gandhe,Swaroopanand Kannur,Michael Gough,Narayanankutty V,4/12/2025,15:30:00,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Lucknow,Completed
Match 27,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Bat,247,2,18.3,245,6,20.0,Sunrisers Hyderabad,No,8,Wickets,Abhishek Sharma (Sunrisers Hyderabad),Akshay Totre,Keyur Kelkar,Adrian Holdstock,Shakti Singh,4/12/2025,19:30:00,"Rajiv Gandhi International Stadium, Hyderabad",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Hyderabad,Completed
Match 28,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,173,4,20.0,175,1,17.3,Royal Challengers Bangalore,No,9,Wickets,Phil Salt (Royal Challengers Bengaluru),Nitin Menon,Sai Darshan Kumar,Kn Ananthapadmanabhan,Javagal Srinath,4/13/2025,15:30:00,"Sawai Mansingh Stadium, Jaipur",Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Jaipur,Completed
Match 29,Delhi Capitals,Mumbai Indians,Delhi Capitals,Field,193,10,19.0,205,5,20.0,Mumbai Indians,No,12,Runs,Karn Sharma (Mumbai Indians),Chris Gaffaney,Vinod Seshan,Madanagopal Jayaraman,Prakash Bhatt,4/13/2025,19:30:00,"Arun Jaitley Stadium, Delhi",Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Delhi,Completed
Match 30,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Field,166,7,20.0,168,5,19.3,Chennai Super Kings,No,5,Wickets,MS Dhoni (Chennai Super Kings),Virender Kumar Sharma,Ulhas Gandhe,Michael Gough,Narayanankutty V,4/14/2025,19:30:00,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Lucknow,Completed
