Match_No,Umpire1,Umpire2,Third_Umpire,Referee,Player_of_Match,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin,Date,Time,Team1,Team2,Venue_x,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Captain_Team1,Coach_Team1,Owner_Team1,Venue_y,Captain_Team2,Coach_Team2,Owner_Team2,Venue
Match 34,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Tim David,Punjab Kings,Field,Punjab Kings,5  Wickets,2025-04-18,19:30:00,Royal Challengers Bengaluru,Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",Completed,95,9,14.0,98,5,12.1,Punjab Kings,No,5.0,Wickets,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
Match 35,Akshay Totre,Akshay Totre,Akshay Totre,Rajiv Seth,Jos Buttler,Gujarat Titans,Field,Gujarat Titans,7  Wickets,2025-04-19,15:30:00,Gujarat Titans,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Completed,204,3,19.2,203,8,20.0,Gujarat Titans,No,7.0,Wickets,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 36,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Prakash Bhatt,Avesh Khan,Lucknow Super Giants,Bat,Lucknow Super Giants,2  Runs,2025-04-19,19:30:00,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",Completed,178,5,20.0,180,5,20.0,Lucknow Super Giants,No,2.0,Runs,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 37,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Virat Kohli,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,7  Wickets,2025-04-20,15:30:00,Punjab Kings,Royal Challengers Bengaluru,"New PCA Stadium, Chandigarh",Completed,157,6,20.0,159,3,18.5,Royal Challengers Bengaluru,No,7.0,Wickets,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 38,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Rohit Sharma,Mumbai Indians,Field,Mumbai Indians,9  Wickets,2025-04-20,19:30:00,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Completed,177,1,15.4,176,5,20.0,Mumbai Indians,No,9.0,Wickets,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 39,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rajiv Seth,Shubman Gill,Kolkata Knight Riders,Field,Gujarat Titans,39  Runs,2025-04-21,19:30:00,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Completed,159,8,20.0,198,3,20.0,Gujarat Titans,No,39.0,Runs,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 40,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Mukesh Kumar,Delhi Capitals,Field,Delhi Capitals,8  Wickets,2025-04-22,19:30:00,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,159,6,20.0,161,2,17.5,Delhi Capitals,No,8.0,Wickets,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 41,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Iqbal Rashid Siddiqui,Trent Boult,Mumbai Indians,Field,Mumbai Indians,7  Wickets,2025-04-23,19:30:00,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Completed,143,8,20.0,146,3,15.4,Mumbai Indians,No,7.0,Wickets,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 42,Michael Gough,Michael Gough,Michael Gough,Rajiv Seth,Josh Hazlewood,Rajasthan Royals,Field,Royal Challengers Bengaluru,11  Runs,2025-04-24,19:30:00,Royal Challengers Bengaluru,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",Completed,205,5,20.0,194,9,20.0,Royal Challengers Bengaluru,No,11.0,Runs,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 43,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Harshal Patel,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,5  Wickets,2025-04-25,19:30:00,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Completed,154,10,19.5,155,5,18.4,Sunrisers Hyderabad,No,5.0,Wickets,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
Match 44,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Rajiv Seth,,Punjab Kings,Bat,,,2025-04-26,19:30:00,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",,7,0,1.0,201,4,20.0,,No,,,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
Match 45,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Daniel Manohar,Will Jacks,Lucknow Super Giants,Field,Mumbai Indians,54  Runs,2025-04-27,15:30:00,Mumbai Indians,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Completed,215,7,20.0,161,10,20.0,Mumbai Indians,No,54.0,Runs,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 46,Nitin Menon,Nitin Menon,Nitin Menon,Iqbal Rashid Siddiqui,Krunal Pandya,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,6  Wickets,2025-04-27,19:30:00,Delhi Capitals,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",Completed,162,8,20.0,165,4,18.3,Royal Challengers Bengaluru,No,6.0,Wickets,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 47,Michael Gough,Michael Gough,Michael Gough,Rajiv Seth,Vaibhav Suryavanshi,Rajasthan Royals,Field,Rajasthan Royals,8   Wickets,2025-04-28,19:30:00,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Completed,212,2,15.5,209,4,20.0,Rajasthan Royals,No,8.0,Wickets,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 48,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Iqbal Rashid Siddiqui,Sunil Narine,Delhi Capitals,Field,Kolkata Knight Riders,14  Runs,2025-04-29,19:30:00,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Completed,190,9,20.0,204,9,20.0,Kolkata Knight Riders,No,14.0,Runs,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens
Match 49,Akshay Totre,Akshay Totre,Akshay Totre,Amit Sharma,Shreyas Iyer,Punjab Kings,Field,Punjab Kings,4  Wickets,2025-04-30,19:30:00,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",Completed,190,10,19.2,194,6,19.4,Punjab Kings,No,4.0,Wickets,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
Match 50,Vinod Seshan,Vinod Seshan,Vinod Seshan,Daniel Manohar,Ryan Rickelton,Rajasthan Royals,Field,Mumbai Indians,100  Runs,2025-05-01,19:30:00,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Completed,117,10,16.1,217,2,20.0,Mumbai Indians,No,100.0,Runs,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 51,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Pankaj Dharmani,Prasidh Krishna,Sunrisers Hyderabad,Field,Gujarat Titans,38  Runs,2025-05-02,19:30:00,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Completed,224,6,20.0,186,6,20.0,Gujarat Titans,No,38.0,Runs,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
Match 52,Nitin Menon,Nitin Menon,Nitin Menon,Iqbal Rashid Siddiqui,Romario Shepherd,Chennai Super Kings,Field,Royal Challengers Bengaluru,2  Runs,2025-05-03,19:30:00,Royal Challengers Bengaluru,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Completed,213,5,20.0,211,5,20.0,Royal Challengers Bengaluru,No,2.0,Runs,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 53,Rohan Pandit,Rohan Pandit,Rohan Pandit,Amit Sharma,Andre Russell,Kolkata Knight Riders,Bat,Kolkata Knight Riders,,2025-05-04,15:30:00,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",,206,4,20.0,205,8,20.0,,No,,,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 54,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Daniel Manohar,Prabhsimran Singh,Lucknow Super Giants,Field,Punjab Kings,37  Runs,2025-05-04,19:30:00,Punjab Kings,Lucknow Super Giants,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Completed,236,5,20.0,199,7,20.0,Punjab Kings,No,37.0,Runs,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 55,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Pankaj Dharmani,,Sunrisers Hyderabad,Field,Tristan Stubbs plays an aggressive pull shot on the back foot and is,,2025-05-05,19:30:00,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",,133,7,0.0,0,0,0.0,,No,,,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 56,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Arjan Kripal Singh,Shubman Gill,Gujarat Titans,Field,Gujarat Titans,3  Wickets,2025-05-06,19:30:00,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai",Completed,155,8,20.0,147,7,19.0,Gujarat Titans,No,3.0,Wickets,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 57,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Amit Sharma,Noor Ahmad,Kolkata Knight Riders,Bat,Chennai Super Kings,2  Wickets,2025-05-07,19:30:00,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Completed,179,6,20.0,183,8,19.4,Chennai Super Kings,No,2.0,Wickets,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 58,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Daniel Manohar,,Punjab Kings,Bat,Priyansh Arya steps down and plays an aggressive lofted straight drive and is,,2025-05-08,19:30:00,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamshala",,122,1,10.1,0,0,0.0,,No,,,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 59,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,,,,,,,2025-05-09,7:30 pm IST,Lucknow Super Giants,Royal Challengers Bengaluru,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled,0,0,0.0,0,0,0.0,,False,,,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 60,Michael Gough,Michael Gough,Michael Gough,,,,,,,2025-05-10,7:30 pm IST,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,0,0,0.0,0,0,0.0,,False,,,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens
Match 61,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,,,,,,,2025-05-11,3:30 pm IST,Punjab Kings,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Scheduled,0,0,0.0,0,0,0.0,,False,,,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 62,Rohan Pandit,Rohan Pandit,Rohan Pandit,,,,,,,2025-05-11,7:30 pm IST,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Scheduled,0,0,0.0,0,0,0.0,,False,,,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 63,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,,,,,,,2025-05-12,7:30 pm IST,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Scheduled,0,0,0.0,0,0,0.0,,False,,,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 64,Michael Gough,Michael Gough,Michael Gough,,,,,,,2025-05-13,7:30 pm IST,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",Scheduled,0,0,0.0,0,0,0.0,,False,,,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
Match 65,Rohan Pandit,Rohan Pandit,Rohan Pandit,,,,,,,2025-05-14,7:30 pm IST,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",Scheduled,0,0,0.0,0,0,0.0,,False,,,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 66,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,,,,,,,2025-05-15,7:30 pm IST,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Scheduled,0,0,0.0,0,0,0.0,,False,,,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 67,Michael Gough,Michael Gough,Michael Gough,,,,,,,2025-05-16,7:30 pm IST,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Scheduled,0,0,0.0,0,0,0.0,,False,,,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
Match 68,Nitin Menon,Nitin Menon,Nitin Menon,,,,,,,2025-05-17,7:30 pm IST,Royal Challengers Bengaluru,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",Scheduled,0,0,0.0,0,0,0.0,,False,,,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens
Match 69,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,,,,,,,2025-05-18,3:30 pm IST,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Scheduled,0,0,0.0,0,0,0.0,,False,,,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 70,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,,,,,,,2025-05-18,7:30 pm IST,Lucknow Super Giants,Sunrisers Hyderabad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled,0,0,0.0,0,0,0.0,,False,,,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
Match 71,Venue Rajiv Gandhi International Stadium Hyderabad,,,,,,,,,2025-05-20,7:30 pm IST,TBD,TBD,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,0,0,0.0,0,0,0.0,,False,,,,,,,,,,
Match 72,Venue Rajiv Gandhi International Stadium Hyderabad,,,,,,,,,2025-05-21,7:30 pm IST,TBD,TBD,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,0,0,0.0,0,0,0.0,,False,,,,,,,,,,
Match 73,Venue Eden Gardens Kolkata,,,,,,,,,2025-05-23,7:30 pm IST,TBD,TBD,"Eden Gardens, Kolkata",Scheduled,0,0,0.0,0,0,0.0,,False,,,,,,,,,,
Match 74,Venue Eden Gardens Kolkata,,,,,,,,,2025-05-25,7:30 pm IST,TBD,TBD,"Eden Gardens, Kolkata",Scheduled,0,0,0.0,0,0,0.0,,False,,,,,,,,,,
