Match_No,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2
Match 1,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,174,8,20.0,177,3,16.2,Royal Challengers Bengaluru,No,7.0,Wickets,Krunal Pandya,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,2025-03-22,19:30:00,M. Chinnaswamy Stadium,Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd
Match 2,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,286,6,20.0,242,6,20.0,Sunrisers Hyderabad,No,44.0,Runs,Ishan Kishan,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,2025-03-23,15:30:00,Sawai Mansingh Stadium,Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited
Match 3,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Field,158,6,19.1,155,9,20.0,Chennai Super Kings,No,4.0,Wickets,Noor Ahmad,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,2025-03-23,19:30:00,Wankhede Stadium,Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd
Match 4,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,Field,211,9,19.3,209,8,20.0,Delhi Capitals,No,1.0,Wicket,Ashutosh Sharma,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,2025-03-24,19:30:00,BRSABV Ekana Cricket Stadium,Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Rishabh Pant,Justin Langer,RPSG Sports Private Limited
Match 5,Gujarat Titans,Punjab Kings,Gujarat Titans,Field,232,5,20.0,243,5,20.0,Punjab Kings,No,11.0,Runs,Shreyas Iyer,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,2025-03-25,19:30:00,"PCA New Stadium, Mullanpur",Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited
Match 6,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,151,9,20.0,153,2,17.3,Kolkata Knight Riders,No,8.0,Wickets,Quinton De Kock,Rohan Pandit,Rohan Pandit,Rohan Pandit,Shakti Singh,2025-03-26,19:30:00,Eden Gardens,Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited
Match 7,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Field,190,9,20.0,193,5,16.1,Lucknow Super Giants,No,5.0,Wickets,Shardul Thakur,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,2025-03-27,19:30:00,BRSABV Ekana Cricket Stadium,Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited
Match 8,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Field,146,8,20.0,196,7,20.0,Royal Challengers Bengaluru,No,50.0,Runs,Rajat Patidar,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,2025-03-28,19:30:00,M. Chinnaswamy Stadium,Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd
Match 9,Gujarat Titans,Mumbai Indians,Mumbai Indians,Field,196,8,20.0,160,6,20.0,Gujarat Titans,No,36.0,Runs,Prasidh Krishna,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,2025-03-29,19:30:00,Wankhede Stadium,Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd
Match 10,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,166,3,16.0,163,10,18.4,Delhi Capitals,No,7.0,Wickets,Mitchell Starc,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,2025-03-30,15:30:00,Rajiv Gandhi Intl. Cricket Stadium,Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Pat Cummins,Daniel Vettori,Sun TV Network Limited
Match 11,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,182,9,20.0,176,6,20.0,Rajasthan Royals,No,6.0,Runs,Nitish Rana,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,2025-03-30,19:30:00,M. A. Chidambaram Stadium,Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited
Match 12,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,121,2,12.5,116,10,16.2,Mumbai Indians,No,8.0,Wickets,Ashwani Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,2025-03-31,19:30:00,Eden Gardens,Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited
Match 13,Lucknow Super Giants,Punjab Kings,Punjab Kings,Field,171,7,20.0,177,2,16.2,Punjab Kings,No,8.0,Wickets,Prabhsimran Singh,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,2025-04-01,19:30:00,"PCA New Stadium, Mullanpur",Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited
Match 14,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,Field,169,8,20.0,170,2,17.5,Gujarat Titans,No,8.0,Wickets,Mohammed Siraj,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,2025-04-02,19:30:00,Narendra Modi Stadium,Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited
Match 15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,200,6,20.0,120,10,16.4,Kolkata Knight Riders,No,80.0,Runs,Vaibhav Arora,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,2025-04-03,19:30:00,Rajiv Gandhi Intl. Cricket Stadium,Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited
Match 16,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Field,203,8,20.0,191,5,20.0,Lucknow Super Giants,No,12.0,Runs,Digvesh Singh,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,2025-04-04,19:30:00,Wankhede Stadium,Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd
Match 17,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Bat,158,5,20.0,183,6,20.0,Delhi Capitals,No,25.0,Runs,K L Rahul,Abhijeet Bengeri,Abhijeet Bengeri,Abhijeet Bengeri,Prakash Bhatt,2025-04-05,15:30:00,Arun Jaitley Stadium,Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd
Match 18,Punjab Kings,Rajasthan Royals,Punjab Kings,Field,155,9,20.0,205,4,20.0,Rajasthan Royals,No,50.0,Runs,Jofra Archer,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,2025-04-05,19:30:00,Sawai Mansingh Stadium,Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited
Match 19,Sunrisers Hyderabad,Gujarat Titans,Kolkata Knight Riders,Field,152,8,20.0,153,3,16.4,Gujarat Titans,No,7.0,Wickets,Nicholas Pooran,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Shakti Singh,2025-04-06,19:30:00,Narendra Modi Stadium,Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited
Match 20,Mumbai Indians,Royal Challengers Bengaluru,Gujarat Titans,Field,209,9,20.0,221,5,20.0,Royal Challengers Bengaluru,No,12.0,Runs,Mohammed Siraj,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,2025-04-07,19:30:00,M. Chinnaswamy Stadium,Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd
Match 21,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Field,234,7,20.0,238,3,20.0,Lucknow Super Giants,No,4.0,Runs,Rajat Patidar,Vinod Seshan,Vinod Seshan,Vinod Seshan,Prakash Bhatt,2025-04-08,15:30:00,BRSABV Ekana Cricket Stadium,Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited
Match 22,Punjab Kings,Chennai Super Kings,Punjab Kings,Bat,219,6,20.0,201,5,20.0,Punjab Kings,No,18.0,Runs,Priyansh Arya,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,2025-04-08,19:30:00,M. A. Chidambaram Stadium,Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited
Match 23,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Field,217,6,20.0,159,10,19.2,Gujarat Titans,No,58.0,Runs,Sai Sudharsan,Rohan Pandit,Rohan Pandit,Rohan Pandit,Shakti Singh,2025-04-09,19:30:00,Sawai Mansingh Stadium,Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited
Match 24,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Field,163,7,20.0,169,4,17.5,Delhi Capitals,No,6.0,Wickets,K L Rahul,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Kn Ananthapadmanabhan,Javagal Srinath,2025-04-10,19:30:00,Arun Jaitley Stadium,Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd
Match 25,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,103,9,20.0,107,2,10.1,Kolkata Knight Riders,No,8.0,Wickets,Sunil Narine,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Prakash Bhatt,2025-04-11,19:30:00,Eden Gardens,Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited
Match 26,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Field,186,4,19.3,180,6,20.0,Lucknow Super Giants,No,6.0,Wickets,Aiden Markram,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,2025-04-12,15:30:00,Narendra Modi Stadium,Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited
Match 27,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Bat,247,2,18.3,245,6,20.0,Sunrisers Hyderabad,No,8.0,Wickets,Abhishek Sharma,Akshay Totre,Akshay Totre,Akshay Totre,Shakti Singh,2025-04-12,19:30:00,"PCA New Stadium, Mullanpur",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited
Match 28,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,173,4,20.0,175,1,17.3,Royal Challengers Bengaluru,No,9.0,Wickets,Phil Salt,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,2025-04-13,15:30:00,M. Chinnaswamy Stadium,Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd
Match 29,Delhi Capitals,Mumbai Indians,Delhi Capitals,Field,193,10,19.0,205,5,20.0,Mumbai Indians,No,12.0,Runs,Karn Sharma,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Prakash Bhatt,2025-04-13,19:30:00,Wankhede Stadium,Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd
Match 30,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Field,166,7,20.0,168,5,19.3,Chennai Super Kings,No,5.0,Wickets,Dhoni,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,2025-04-14,19:30:00,M. A. Chidambaram Stadium,Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited
Match 31,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Bat,111,10,15.3,95,10,15.1,Punjab Kings,No,16.0,Runs,Yuzvendra Chahal,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,2025-04-15,19:30:00,Eden Gardens,Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited
Match 32,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Field,188,5,20.0,188,4,20.0,Delhi Capitals,Yes,Super Over,Decided in Super Over,Mitchell Starc,Akshay Totre,Akshay Totre,Akshay Totre,Shakti Singh,2025-04-16,19:30:00,Sawai Mansingh Stadium,Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited
Match 33,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Field,166,6,18.1,162,5,20.0,Mumbai Indians,No,4.0,Wickets,Will Jacks,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Prakash Bhatt,2025-04-17,19:30:00,Rajiv Gandhi Intl. Cricket Stadium,Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Pat Cummins,Daniel Vettori,Sun TV Network Limited
